eid,label_VISp,label_VISp,nb_channel_VISp,nb_channel_VISp,pid1,pid2
9fe512b8-92a8-4642-83b6-01158ab66c3c,['probe00'],['probe00'],[78],[78],['a4d9d9d5-6ea3-4234-aa28-e064e83626fa'],['a4d9d9d5-6ea3-4234-aa28-e064e83626fa']
a19c7a3a-7261-42ce-95d5-1f4ca46007ed,['probe00'],['probe00'],[22],[22],['c6ba6f8e-c13e-410f-b7df-e193ba0d239d'],['c6ba6f8e-c13e-410f-b7df-e193ba0d239d']
a405053a-eb13-4aa4-850c-5a337e5dc7fd,['probe01'],['probe01'],[18],[18],['afecbc7f-10e3-40af-b091-cca9e8df6108'],['afecbc7f-10e3-40af-b091-cca9e8df6108']
a71175be-d1fd-47a3-aa93-b830ea3634a1,['probe01'],['probe01'],[30],[30],['e10a7a75-4740-41d1-82bb-7696ed14c442'],['e10a7a75-4740-41d1-82bb-7696ed14c442']
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,['probe01'],['probe01'],[72],[72],['769b42dc-acf3-4079-b09e-ec979568d297'],['769b42dc-acf3-4079-b09e-ec979568d297']
b9c205c3-feac-485b-a89d-afc96d9cb280,['probe00'],['probe00'],[24],[24],['ea931b15-6214-4b80-8d88-7acbbe071bc0'],['ea931b15-6214-4b80-8d88-7acbbe071bc0']
bb099402-fb31-4cfd-824e-1c97530a0875,['probe00'],['probe00'],[18],[18],['b83407f8-8220-46f9-9b90-a4c9f150c572'],['b83407f8-8220-46f9-9b90-a4c9f150c572']
bda2faf5-9563-4940-a80f-ce444259e47b,['probe00'],['probe00'],[80],[80],['29418b18-4db6-436f-a85e-b0f1d38d2e62'],['29418b18-4db6-436f-a85e-b0f1d38d2e62']
c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,['probe00'],['probe00'],[20],[20],['cab81176-36cd-4c37-9353-841e85027d36'],['cab81176-36cd-4c37-9353-841e85027d36']
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,['probe00'],['probe00'],[72],[72],['92822789-608f-44a6-ad64-fe549402b2df'],['92822789-608f-44a6-ad64-fe549402b2df']
caa5dddc-9290-4e27-9f5e-575ba3598614,"['probe00', 'probe01']","['probe00', 'probe01']","[92, 48]","[92, 48]","['4836a465-c691-4852-a0b1-dcd2b1ce38a1', 'd0046384-16ea-4f69-bae9-165e8d0aeacf']","['4836a465-c691-4852-a0b1-dcd2b1ce38a1', 'd0046384-16ea-4f69-bae9-165e8d0aeacf']"
d901aff5-2250-467a-b4a1-0cb9729df9e2,['probe01'],['probe01'],[118],[118],['12c0f3a9-518e-4dac-9651-5d95c2b4730f'],['12c0f3a9-518e-4dac-9651-5d95c2b4730f']
db4df448-e449-4a6f-a0e7-288711e7a75a,['probe00'],['probe00'],[40],[40],['febb430e-2d50-4f83-87a0-b5ffbb9a4943'],['febb430e-2d50-4f83-87a0-b5ffbb9a4943']
dc21e80d-97d7-44ca-a729-a8e3f9b14305,['probe00'],['probe00'],[56],[56],['176b4fe3-f570-4d9f-9e25-a5d218f75c8b'],['176b4fe3-f570-4d9f-9e25-a5d218f75c8b']
e012d3e3-fdbc-4661-9ffa-5fa284e4e706,['probe00'],['probe00'],[44],[44],['2400a2fa-0335-480b-ac8d-a478171f3a55'],['2400a2fa-0335-480b-ac8d-a478171f3a55']
e0928e11-2b86-4387-a203-80c77fab5d52,"['probe00', 'probe01']","['probe00', 'probe01']","[92, 80]","[92, 80]","['fdeff6df-7216-4b83-ab64-241e9fd173da', '799d899d-c398-4e81-abaf-1ef4b02d5475']","['fdeff6df-7216-4b83-ab64-241e9fd173da', '799d899d-c398-4e81-abaf-1ef4b02d5475']"
e1931de1-cf7b-49af-af33-2ade15e8abe7,['probe00'],['probe00'],[84],[84],['9150758e-1390-41d1-b426-96675e60dbea'],['9150758e-1390-41d1-b426-96675e60dbea']
e349a2e7-50a3-47ca-bc45-20d1899854ec,"['probe01', 'probe00']","['probe01', 'probe00']","[118, 60]","[118, 60]","['c9664185-d3fd-4e0e-89cf-77c402038938', '3bd1f88b-4e0c-43a6-9483-3305e82f2fae']","['c9664185-d3fd-4e0e-89cf-77c402038938', '3bd1f88b-4e0c-43a6-9483-3305e82f2fae']"
e535fb62-e245-4a48-b119-88ce62a6fe67,['probe00'],['probe00'],[16],[16],['c4f6665f-8be5-476b-a6e8-d81eeae9279d'],['c4f6665f-8be5-476b-a6e8-d81eeae9279d']
e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,"['probe00', 'probe01']","['probe00', 'probe01']","[8, 38]","[8, 38]","['a6fe3779-2b77-4b66-a625-a6078720e412', 'fb0de39b-c750-4adc-af18-12bf8a22ed41']","['a6fe3779-2b77-4b66-a625-a6078720e412', 'fb0de39b-c750-4adc-af18-12bf8a22ed41']"
f140a2ec-fd49-4814-994a-fe3476f14e66,['probe00'],['probe00'],[14],[14],['bf96f6d6-4726-4cfa-804a-bca8f9262721'],['bf96f6d6-4726-4cfa-804a-bca8f9262721']
f56194bc-8215-4ae8-bc6a-89781ad8e050,['probe01'],['probe01'],[118],[118],['18d316bf-d322-4c5c-814e-a58147f7bf5f'],['18d316bf-d322-4c5c-814e-a58147f7bf5f']
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,['probe00'],['probe00'],[66],[66],['ece878b9-830d-4618-b801-ad0e7d8e7085'],['ece878b9-830d-4618-b801-ad0e7d8e7085']
